Species ID,Park Name,Category,Order,Family,Scientific Name,Common Names,Record Status,Occurrence,Nativeness,Abundance,Seasonality,Conservation Status
CHIS-1000,Channel Islands National Park,Mammal,Carnivora,Canidae,Urocyon littoralis,Channel Islands Gray Fox,Approved,Present,Native,Rare,Breeder,
CHIS-1001,Channel Islands National Park,Mammal,Carnivora,Mephitidae,Spilogale gracilis amphiala,Spotted Skunk,Approved,Present,Native,Uncommon,Breeder,
CHIS-1002,Channel Islands National Park,Mammal,Carnivora,Mustelidae,Enhydra lutris nereis,Sea Otter,Approved,Not Present (Historical Report),Native,,,Threatened
CHIS-1003,Channel Islands National Park,Mammal,Carnivora,Otariidae,Arctocephalus townsendi,Guadalupe Fur Seal,Approved,Present,Native,Occasional,Resident,Threatened
CHIS-1004,Channel Islands National Park,Mammal,Carnivora,Otariidae,Callorhinus ursinus,Northern Fur Seal,Approved,Present,Native,Uncommon,Breeder,
CHIS-1005,Channel Islands National Park,Mammal,Carnivora,Otariidae,Eumetopias jubatus,"Northern Sea Lion, Stellar Sea Lion",Approved,Present,Native,Occasional,Migratory,In Recovery
CHIS-1006,Channel Islands National Park,Mammal,Carnivora,Otariidae,Zalophus californianus,California Sea Lion,Approved,Present,Native,Common,Breeder,
CHIS-1007,Channel Islands National Park,Mammal,Carnivora,Phocidae,Mirounga angustirostris,Northern Elephant Seal,Approved,Present,Native,Common,Breeder,
CHIS-1008,Channel Islands National Park,Mammal,Carnivora,Phocidae,Phoca vitulina,Harbor Seal,Approved,Present,Native,Uncommon,Breeder,
CHIS-1009,Channel Islands National Park,Mammal,Cetacea,Balaenidae,Eubalaena glacialis,Northern Right Whale,Approved,Present,Native,Uncommon,,Endangered
CHIS-1010,Channel Islands National Park,Mammal,Cetacea,Balaenopteridae,Balaenoptera acutorostrata,Minke Whale,Approved,Present,Native,Uncommon,Migratory,
CHIS-1011,Channel Islands National Park,Mammal,Cetacea,Balaenopteridae,Balaenoptera borealis,Rorqual (Sei Whale),Approved,Present,Native,Rare,Migratory,Endangered
CHIS-1012,Channel Islands National Park,Mammal,Cetacea,Balaenopteridae,Balaenoptera musculus,Blue Whale,Approved,Present,Native,Uncommon,Migratory,Endangered
CHIS-1013,Channel Islands National Park,Mammal,Cetacea,Balaenopteridae,Balaenoptera physalus,Finback Whale,Approved,Present,Native,Unknown,Migratory,Endangered
CHIS-1014,Channel Islands National Park,Mammal,Cetacea,Balaenopteridae,Megaptera novaeangliae,Humback Whale,Approved,Present,Native,Rare,Migratory,Endangered
CHIS-1015,Channel Islands National Park,Mammal,Cetacea,Delphinidae,Delphinus delphis,Common Dolphin,Approved,Present,Native,Abundant,Breeder,
CHIS-1016,Channel Islands National Park,Mammal,Cetacea,Delphinidae,Grampus griseus,Risso Dolphin,Approved,Present,Native,Uncommon,,
CHIS-1017,Channel Islands National Park,Mammal,Cetacea,Delphinidae,Lagenorhynchus obliquidens,Pacific White-Sided Dolphin,Approved,Present,Native,Unknown,,
CHIS-1018,Channel Islands National Park,Mammal,Cetacea,Delphinidae,Lissodelphis borealis,Right Whale Dolphin,Approved,Present,Native,Unknown,,
CHIS-1019,Channel Islands National Park,Mammal,Cetacea,Delphinidae,Orcinus orca,Killer Whale,Approved,Present,Native,Rare,,
CHIS-1020,Channel Islands National Park,Mammal,Cetacea,Delphinidae,Pseudorca crassidens,False Killer Whale,Approved,Present,Native,Unknown,,
CHIS-1021,Channel Islands National Park,Mammal,Cetacea,Delphinidae,Steno bredanensis,Rough-Toothed Dolphin,Approved,Present,Native,Unknown,,
CHIS-1022,Channel Islands National Park,Mammal,Cetacea,Delphinidae,Tursiops truncatus,Pacific Bottlenose Dolphin,Approved,Present,Native,Unknown,,
CHIS-1023,Channel Islands National Park,Mammal,Cetacea,Eschrichtiidae,Eschrichtius robustus,Gray Whale,Approved,Present,Native,Uncommon,Migratory,In Recovery
CHIS-1024,Channel Islands National Park,Mammal,Cetacea,Hyperoodontidae,Mesoplodon stejnegeri,Pacific Beaked Whale,Approved,Present,Native,Unknown,,
CHIS-1025,Channel Islands National Park,Mammal,Cetacea,Kogiidae,Kogia breviceps,Pygmy Sperm Whale,Approved,Present,Native,Unknown,Migratory,
CHIS-1026,Channel Islands National Park,Mammal,Cetacea,Phocoenidae,Phocoena phocoena,Harbor Porpoise,Approved,Present,Native,Unknown,,
CHIS-1027,Channel Islands National Park,Mammal,Cetacea,Phocoenidae,Phocoenoides dalli,Dall's Porpoise,Approved,Present,Native,Unknown,,
CHIS-1028,Channel Islands National Park,Mammal,Cetacea,Physeteridae,Physeter catodon,Sperm Whale,Approved,Present,Native,Unknown,Migratory,Endangered
CHIS-1029,Channel Islands National Park,Mammal,Chiroptera,Molossidae,Eumops perotis,Western Mastiff Bat,Approved,Present,Native,Occasional,Breeder,
CHIS-1030,Channel Islands National Park,Mammal,Chiroptera,Molossidae,Tadarida brasiliensis,Mexican Free-Tailed Bat,Approved,Present,Native,Occasional,Breeder,
CHIS-1031,Channel Islands National Park,Mammal,Chiroptera,Vespertilionidae,Antrozous pallidus,Pallid Bat,Approved,Present,Native,Uncommon,,Species of Concern
CHIS-1032,Channel Islands National Park,Mammal,Chiroptera,Vespertilionidae,Eptesicus fuscus,Big Brown Bat,Approved,Present,Native,Occasional,,Species of Concern
